trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.5, 'e': 0.9904613811569836}",20,0,-143.86760275217497,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
134,False,"{'a': 0.5, 'e': 0.9903165437719683}",20,0,-124.47905861086619,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.99017062037836}",20,0,-86.06653688553527,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.9900236111361823}",25,13,-5.367967786129212,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.9898755162066495}",35,22,7.9402735543567555,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.9897263357521668}",20,0,-127.25857141495209,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.9895760699363294}",20,0,-194.07139895426013,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
140,False,"{'a': 0.5, 'e': 0.9894247189239233}",25,0,-123.55528720774552,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.9892722828809237}",25,0,-118.43476206476271,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.9891187619744967}",20,0,-100.6902470744804,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.9889641563729973}",25,0,-108.35287253327344,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.9888084662459704}",20,0,-34.77065734358078,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.9886516917641501}",25,0,-159.80379349250933,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
146,False,"{'a': 0.5, 'e': 0.9884938330994596}",35,0,-247.42125886000488,"{0: 17, 1: 3, 2: 11, 3: 1, 4: 3}",0
147,False,"{'a': 0.5, 'e': 0.9883348904250111}",30,0,-153.58469722158597,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
148,False,"{'a': 0.5, 'e': 0.9881748639151056}",25,0,-177.41016536183287,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
149,False,"{'a': 0.5, 'e': 0.9880137537452325}",25,0,-245.1401028419436,"{0: 12, 1: 2, 2: 5, 3: 2, 4: 4}",0
150,False,"{'a': 0.5, 'e': 0.9878515600920699}",25,0,-36.34860947477659,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.9876882831334836}",20,0,-46.195257919713306,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.9875239230485278}",20,0,-90.58041677053194,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.9873584800174442}",20,0,-47.27003074219048,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.9871919542216624}",25,0,-128.03471383155707,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.9870243458437991}",20,0,-82.42768627752959,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.9868556550676583}",30,0,-116.95341594283344,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.9866858820782309}",30,0,-269.66758507196226,"{0: 16, 1: 0, 2: 7, 3: 3, 4: 4}",0
158,False,"{'a': 0.5, 'e': 0.9865150270616948}",25,0,-167.25728637433104,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
159,False,"{'a': 0.5, 'e': 0.9863430902054143}",20,0,-36.05114517261887,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.9861700716979402}",20,0,-157.49216164540815,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.9859959717290093}",20,0,-180.8679747374913,"{0: 7, 1: 2, 2: 6, 3: 4, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.9858207904895445}",25,0,-90.33526622229698,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.9856445281716545}",20,0,-129.52874125083628,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.9854671849686332}",20,0,-45.50999320033097,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.9852887610749602}",20,0,-83.74842381652095,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.9851092566863001}",20,0,-146.52827433105548,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
167,False,"{'a': 0.5, 'e': 0.9849286719995025}",20,0,-217.52760243645258,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
168,False,"{'a': 0.5, 'e': 0.9847470072126014}",20,0,-133.76022137145526,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
169,False,"{'a': 0.5, 'e': 0.9845642625248155}",30,0,-202.50828554106124,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
170,False,"{'a': 0.5, 'e': 0.9843804381365479}",20,0,-80.2873291608579,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.9841955342493852}",25,0,-150.18422767008903,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
172,False,"{'a': 0.5, 'e': 0.9840095510660982}",25,0,-217.6962610948268,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
173,False,"{'a': 0.5, 'e': 0.9838224887906414}",20,0,-49.721816642062564,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.9836343476281524}",20,0,-112.68190977303186,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.9834451277849519}",30,0,-190.54331775428267,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
176,False,"{'a': 0.5, 'e': 0.9832548294685437}",25,0,-216.35418808000003,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
177,False,"{'a': 0.5, 'e': 0.9830634528876143}",20,0,-169.6297946624908,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
178,False,"{'a': 0.5, 'e': 0.9828709982520324}",20,0,-105.41253884120582,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
179,False,"{'a': 0.5, 'e': 0.9826774657728493}",20,0,-124.62757284500358,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
180,False,"{'a': 0.5, 'e': 0.9824828556622979}",30,0,-163.39493210060803,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
181,False,"{'a': 0.5, 'e': 0.9822871681337931}",25,0,-185.49936993833938,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
